ShapeSize,#input,#output,#op,RealNdpxCost
6422528,6,1,16,431428
589824,1,1,1,26809
6422528,9,1,32,1123465
6422528,6,2,19,1911161
1179648,1,1,1,53304
1179648,1,1,1,53304
1179648,1,1,1,53304
262144,1,1,1,12089
6422528,7,1,22,638759
3211264,13,1,31,380582
1605632,13,1,31,254698
1605632,10,1,33,234625
1605632,11,1,40,269471
6422528,6,2,19,1965517
6422528,8,1,32,1242562
294912,1,1,1,13561
12845056,3,1,11,699150
294912,1,1,1,13561
294912,1,1,1,13561
4718592,15,9,40,2287926
1032192,1,1,1,46680
2359296,1,1,1,112086
2359296,7,3,14,381003
4718592,1,1,1,232849
4718592,1,1,1,215145
4718592,1,1,1,220988
6422528,6,5,10,3891926
1179648,15,9,40,571805
1032192,7,3,14,166627
2016,7,3,15,674
32,1,1,1,335
32,1,1,1,335
49152,1,1,1,2519
9216,1,1,1,725
6912,1,1,1,621
9216,1,1,1,725
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,863
24576,1,1,1,1415
49152,1,1,1,2519
6912,1,1,1,621
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
73728,1,1,1,3623
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5278
6912,1,1,1,621
17280,1,1,1,1089
129024,2,1,2,16070
17280,1,1,1,1089
17280,1,1,1,1089
10368,1,1,1,779
10368,1,1,1,780
10368,1,1,1,780
6912,1,1,1,621
6912,1,1,1,621
6912,1,1,1,621
49152,1,1,1,2519
3456,1,1,1,468
3456,1,1,1,468
3456,1,1,1,468
2592,1,1,1,428
2592,1,1,1,428
1728,1,1,1,391
576,1,1,1,340
1024,1,1,1,339
3072,1,1,1,432
6144,1,1,1,571
128,3,1,8,440
110592,1,1,1,5278
110592,1,1,1,5278
110592,1,1,1,5277
73728,1,1,1,3623
49152,1,1,1,2519
49152,1,1,1,2518
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
49152,1,1,1,2519
24576,1,1,1,1415
12288,1,1,1,863
12288,1,1,1,863
128,2,1,3,336
12288,1,1,1,863
12288,1,1,1,863
12288,1,1,1,862
9216,1,1,1,725
6912,1,1,1,621
9216,1,1,1,725
6912,1,1,1,621
6144,1,1,1,571
3072,1,1,1,449
1024,1,1,1,340
32,2,1,1,398
128,2,1,1,354
110592,1,1,1,5278
110592,1,1,1,5278
184320,1,1,1,8591
184320,1,1,1,8592
307200,1,1,1,14114
307200,1,1,1,14114
129024,2,1,4,17278
614400,1,1,1,27911
819200,1,1,1,37111
307200,1,1,1,14114
307200,1,1,1,14113
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
307200,1,1,1,14114
129024,1,1,1,6106
163840,1,1,2,7678
307200,1,1,1,14114
614400,1,1,1,27911
819200,1,1,1,37112
2580480,1,1,1,118806
819200,10,3,15,132320
614400,10,3,15,99156
307200,19,6,28,99401
307200,28,9,41,148729
184320,10,3,15,29607
24576,10,3,15,3876
9216,10,3,15,1594
73728,10,3,15,11758
9216,10,3,15,1550
110592,19,6,28,36313
110592,28,9,41,54077
41472,19,6,28,13412
2016,10,3,16,738
12288,19,6,28,3833
276480,28,9,41,134215
165888,28,9,41,80082
2560,29,8,42,1358
640,29,8,42,1174
2580480,10,3,15,417559
32,1,1,1,335
3211264,6,5,10,1928705
1605632,6,5,10,971668
32,2,1,1,399
64512,4,2,3,9874
73728,1,1,1,3622
73728,1,1,1,3623
73728,1,1,1,3623
73728,1,1,1,3625
147456,1,1,1,6937
16384,1,1,1,1047
65536,1,1,1,3253
6422528,16,1,31,1419133
32768,1,1,2,1786
64512,1,1,1,3209
32,2,1,1,342
64,3,1,8,473
6422528,9,1,17,573651
589824,1,1,1,26808
6422528,14,1,33,1237825
6422528,7,2,19,1957877
1179648,1,1,1,53303
1179648,1,1,1,53303
1179648,1,1,1,53304
262144,1,1,1,12088
6422528,13,1,23,979282
3211264,16,1,31,429796
1605632,16,1,31,297977
1605632,14,1,33,303633
1605632,18,1,40,369965
6422528,7,2,19,2010505
6422528,14,1,33,1927728
294912,1,1,1,13561
12845056,3,1,11,699358
294912,1,1,1,13560
294912,1,1,1,13561
4718592,28,9,41,2292344
1032192,1,1,1,46680
2359296,1,1,1,112106
2359296,10,3,15,382058
4718592,1,1,1,212301
4718592,1,1,1,213867
4718592,1,1,1,214171
6422528,6,5,10,3891926
1179648,28,9,41,573016
1032192,10,3,15,167104
2016,10,3,16,704
32,1,1,1,335
32,1,1,1,335
2580480,1,1,1,116654
125440,2,1,1,5953
125440,2,1,1,5953
301056,2,1,1,16039
301056,2,1,1,13845
200704,2,1,1,9337
200704,2,1,1,9338
200704,2,1,1,9341
401408,2,1,1,18444
401408,2,1,1,18357
1605632,2,1,1,72452
2580480,10,3,15,417738
32,29,8,42,1330
6422528,14,1,37,983902
6422528,14,1,37,872898
3211264,12,1,21,585051
768,84,23,122,2672
128,85,22,129,3245
384,64,19,94,2279
64,38,11,54,1471
384,85,22,129,2903
64,85,22,129,3163
288,85,22,129,2565
64,55,16,82,2169
4816896,14,1,37,791049
1605632,12,1,21,207716
7225344,14,1,37,1030124
7225344,14,1,37,984197
1605632,12,1,21,191398
1806336,14,1,37,253182
401408,12,1,21,57122
2408448,14,1,37,333541
2408448,14,1,37,324057
401408,12,1,21,39496
2408448,14,1,37,337898
2408448,14,1,37,349527
401408,12,1,21,48409
602112,14,1,37,95124
200704,12,1,21,23612
1204224,14,1,37,171686
1204224,14,1,37,169202
200704,12,1,21,25849
1204224,14,1,37,190944
1204224,14,1,37,167948
200704,12,1,21,26576
1204224,14,1,37,185524
1204224,14,1,37,152047
200704,12,1,21,22563
640,29,8,42,1064
1920,64,19,94,2462
1920,85,22,129,3548
320,81,24,122,2571
1152,64,19,94,2550
192,38,11,54,1513
1152,85,22,129,3124
192,85,22,129,3326
768,29,8,42,1351
768,85,22,129,3159
1204224,14,1,37,165583
1204224,14,1,37,158603
301056,12,1,21,45282
1806336,14,1,37,281711
1806336,14,1,37,262311
301056,12,1,21,31226
1806336,14,1,37,256572
1806336,14,1,37,317295
301056,12,1,21,44317
451584,14,1,37,82574
125440,12,1,21,16396
752640,14,1,37,126037
752640,14,1,37,124631
125440,12,1,21,13810
752640,14,1,37,103973
752640,14,1,37,120573
125440,12,1,21,13665
752640,14,1,37,106238
752640,14,1,37,111214
250880,12,1,21,33004
2560,29,8,42,1370
16128,1,1,1,1036
20480,1,1,2,1234
250880,7,1,12,14749
17280,1,1,1,1089
125440,8,1,13,9107
17280,1,1,1,1089
